,Rank,Team,Conference,Record,Road,Neutral,Home,Non Div I
266,267,Harvard,Ivy League,13-26,7-17,2-2,4-7,0-0
267,268,Akron,MAC,15-39,9-22,3-3,3-14,0-0
268,269,San Francisco,WCC,21-34,7-16,0-0,14-18,0-0
269,270,Manhattan,MAAC,22-30,16-22,0-0,6-8,0-0
270,271,Seattle U,WAC,16-36,9-22,0-0,7-14,1-0
271,272,Pepperdine,WCC,15-38,7-16,0-1,8-21,0-0
272,273,Western Ill.,OVC,13-37,8-22,0-3,5-12,0-0
273,274,CSU Bakersfield,Big West,15-38,4-16,0-7,11-15,0-0
274,275,Milwaukee,Horizon,17-36,6-27,1-2,10-7,2-0
275,276,North Ala.,ASUN,18-35,7-17,1-1,10-17,0-0
276,277,Mount St. Mary's,MAAC,22-34,11-19,2-2,9-13,0-0
277,278,Central Conn. St.,NEC,18-24,8-13,0-0,10-11,0-0
278,279,Central Mich.,MAC,14-38,9-25,0-2,5-11,3-0
279,280,UT Martin,OVC,21-35,7-20,1-1,13-14,0-0
280,281,Queens (NC),ASUN,14-41,6-23,0-1,8-17,0-0
281,282,Northern Colo.,Summit League,16-38,5-27,5-2,6-9,0-0
282,283,Dartmouth,Ivy League,13-25,9-16,0-0,4-9,0-1
283,284,Utah Tech,WAC,14-42,7-22,0-0,7-20,0-0
284,285,Youngstown St.,Horizon,16-44,7-27,3-1,6-16,0-0
285,286,UAlbany,America East,15-34,6-24,0-1,9-9,0-0
286,287,Brown,Ivy League,11-28,7-17,0-0,4-11,0-0
287,288,Lindenwood,OVC,15-38,8-22,0-0,7-16,1-0
288,289,Eastern Mich.,MAC,14-38,7-27,0-0,7-11,0-0
289,290,Omaha,Summit League,18-32,10-19,0-4,8-9,0-0
290,291,Southern U.,SWAC,19-29,10-13,2-6,7-10,3-0
291,292,Iona,MAAC,12-38,5-31,0-0,7-7,0-0
292,293,Pacific,WCC,11-44,2-25,0-1,9-18,0-0
293,294,Maine,America East,10-37,4-23,1-4,5-10,2-0
294,295,Bellarmine,ASUN,10-45,3-33,0-0,7-12,0-0
295,296,Siena,MAAC,12-40,5-29,0-0,7-11,0-0
296,297,SFA,WAC,10-44,2-25,0-3,8-16,0-0
297,298,Alabama A&M,SWAC,10-38,5-25,0-0,5-13,3-0
298,299,Coppin St.,NEC,12-33,4-20,0-0,8-13,0-0
299,300,Saint Peter's,MAAC,12-40,6-31,0-0,6-9,0-0
300,301,Norfolk St.,NEC,12-41,5-15,0-0,7-26,0-0
301,302,Mississippi Val.,SWAC,7-32,5-20,0-0,2-12,5-2
302,303,Alcorn,SWAC,6-42,3-27,0-3,3-12,0-1
303,304,UMES,NEC,0-48,0-34,0-0,0-14,0-0
304,305,Ark.-Pine Bluff,SWAC,9-34,3-14,0-1,6-19,6-0
