"Year","Team","ERA","W","L","APP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","AB","BAA","WP","HBP","BK","SFA","SHA"
2002,"Alcorn State",5.58,24,22,46,46,12,4,0,8,321.0,351,269,199,242,254,70,18,25,1249,.281,31,32,9,19,33
2002,"Appalachian State",7.18,16,34,50,50,1,0,0,10,420.0,587,428,335,249,258,109,15,43,1784,.329,36,48,8,25,29
2002,"Arizona",5.24,31,24,55,55,4,2,1,9,493.1,586,354,287,155,345,"","","","","","","","","",""
2002,"Arizona State",4.40,37,21,58,58,6,2,1,11,509.2,511,297,249,239,471,83,4,36,1942,.263,52,56,17,22,30
2002,"Arkansas",4.28,34,26,60,60,2,2,1,13,538.0,587,315,256,173,365,103,14,42,2098,.280,27,48,13,24,45
2002,"Arkansas-Little Rock",5.44,19,35,54,54,1,0,0,6,457.0,527,382,276,243,389,107,14,37,1837,.287,69,54,12,29,34
2002,"Arkansas-Pine Bluff",5.25,24,26,51,51,14,3,2,4,338.0,334,265,197,181,233,74,10,18,1324,.252,27,47,11,22,19
2002,"Arkansas State",4.79,23,35,58,58,2,1,1,7,501.1,553,343,267,221,361,95,15,43,1978,.280,56,45,11,23,35
2002,"Army",4.63,22,21,43,43,16,6,2,5,328.1,348,212,169,118,202,50,12,20,1300,.268,23,39,6,13,15
2002,"Auburn",4.85,34,26,60,60,5,4,1,9,525.1,564,324,283,165,361,120,14,53,2038,.277,29,47,9,20,28
2002,"Austin Peay State",5.56,30,27,57,57,4,3,2,10,473.0,518,361,292,239,384,100,13,59,1849,.280,54,47,5,25,27
2002,"Ball State",4.40,34,22,57,57,12,3,2,4,483.0,490,316,236,156,488,90,8,53,1893,.259,39,52,9,15,20
2002,"Baylor",4.73,36,26,62,62,2,0,0,16,549.2,578,365,289,215,509,"","","","","","","","","",""
2002,"Belmont",5.58,22,30,52,52,9,3,1,2,396.2,514,293,246,165,250,88,8,30,1619,.317,40,38,12,15,26
2002,"Bethune-Cookman",4.97,39,22,61,61,16,4,0,5,511.0,563,358,282,235,404,103,14,44,2012,.280,36,65,14,15,14
2002,"Binghamton",4.71,17,32,49,49,12,3,3,7,351.1,405,281,184,166,235,97,11,29,1422,.285,31,32,2,24,14
2002,"Birmingham-Southern",4.08,32,20,52,52,3,4,2,10,443.1,413,238,201,184,388,67,7,30,1685,.245,46,42,10,18,32
2002,"Boston College",4.76,30,25,55,55,10,1,0,3,461.0,507,323,244,209,409,95,16,28,1812,.280,36,46,7,29,30
2002,"Bowling Green State",6.47,32,22,54,54,6,0,0,8,443.2,540,378,319,240,315,95,7,56,1747,.309,52,68,7,24,31
2002,"Bradley",6.16,18,38,56,56,9,2,1,6,434.0,538,389,297,235,306,121,9,31,1764,.305,40,58,10,25,30
2002,"Brigham Young",6.62,31,31,63,63,2,0,0,13,552.1,732,497,406,257,332,147,24,49,2286,.320,37,90,18,37,27
2002,"Brown",5.44,25,24,49,49,13,2,1,6,385.2,439,287,233,197,313,84,20,39,1529,.287,40,42,6,19,25
2002,"Bucknell",6.64,15,35,50,50,6,1,0,6,378.0,500,336,279,166,222,113,23,23,1537,.325,32,48,5,28,33
2002,"Buffalo",7.80,16,28,44,44,8,0,0,6,341.2,448,356,296,220,280,84,15,49,1426,.314,59,43,12,13,17
2002,"Butler",4.02,34,23,57,57,27,9,1,8,449.2,498,252,201,121,370,92,11,28,1774,.281,18,48,4,8,16
2002,"California",5.05,29,27,56,56,3,2,2,7,511.1,552,336,287,237,361,84,12,47,1981,.279,66,42,12,22,36
2002,"Cal Poly",6.02,30,29,60,60,7,2,1,2,523.1,610,413,350,229,352,137,20,57,2089,.292,55,66,16,36,35
2002,"Cal State Fullerton",3.93,37,22,59,59,4,3,2,14,542.2,559,287,237,169,440,95,8,43,2096,.267,30,72,19,19,24
