,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,Rating
51,Troy,4,126,41,0.325,10.25,31.5,0.3253968253968254,36,9.0,33.0,19,11,3.0,99,40,10,0.933,10.0,2.5,5,0.482,1.25,43,10.75,72,0.571,10.6,4.09,1.42,59,Sun Belt,37-22,17-10,1-3,19-9,0-0,68,Sun Belt,0.517400365773838,3-1,121,124,255,0-0,0-1,0-0,0-0,3-0,,60,-8,1.053,18.3963
52,Notre Dame,3,101,27,0.267,9.0,33.666666666666664,0.26732673267326734,21,7.0,24.0,17,16,6.0,72,25,1,0.99,8.333333333333334,0.3333333333333333,2,0.397,0.6666666666666666,25,8.333333333333334,38,0.376,12.4,4.5,1.42,79,ACC,27-25,11-17,0-0,16-8,0-0,31,ACC,0.9640153494963384,2-1,82,24,144,0-0,0-0,0-0,2-1,0-0,,33,2,0.773,18.3143
53,Louisiana,4,122,31,0.254,7.75,30.5,0.2540983606557377,26,6.5,36.0,33,23,5.75,108,39,8,0.948,9.75,2.0,5,0.403,1.25,28,7.0,43,0.352,9.5,5.0,1.64,41,Sun Belt,42-20,14-6,2-6,26-8,0-0,53,Sun Belt,0.657720617092734,2-2,205,152,237,0-0,0-0,0-0,1-2,1-0,,51,-2,0.755,18.2256
54,Wofford,4,131,39,0.298,9.75,32.75,0.29770992366412213,30,7.5,35.0,25,21,5.4,105,40,7,0.954,10.0,1.75,13,0.466,3.25,35,8.75,54,0.412,7.5,2.31,1.54,50,SoCon,42-20,13-12,7-3,22-5,0-0,79,Southern,0.46656053446570916,3-1,108,251,238,0-0,0-0,0-1,0-0,3-0,,55,-24,0.878,18.113500000000002
55,Hawaii,4,136,42,0.309,10.5,34.0,0.3088235294117647,21,5.25,34.0,18,15,3.97,102,37,2,0.986,9.25,0.5,6,0.421,1.5,32,8.0,55,0.404,7.9,2.65,1.21,74,Big West,33-16,10-6,0-0,23-10,4-0,64,Big West,0.5583878656236584,4-0,39,93,250,0-0,0-0,0-0,0-0,4-0,,63,-1,0.825,17.956699999999998
56,Georgetown,4,137,39,0.285,9.75,34.25,0.2846715328467153,27,6.75,34.1,28,25,6.55,103,47,2,0.987,11.75,0.5,4,0.409,1.0,31,7.75,52,0.38,8.1,6.55,1.89,58,Big East,36-21,17-8,2-4,17-9,0-0,150,Big East,-0.0019243983819604627,2-2,168,189,178,0-0,0-0,0-0,1-2,1-0,,143,-7,0.7889999999999999,17.9221
57,Pittsburgh,3,109,36,0.33,12.0,36.333333333333336,0.3302752293577982,27,9.0,28.0,18,17,5.46,84,34,1,0.992,11.333333333333334,0.3333333333333333,6,0.476,2.0,37,12.333333333333334,67,0.615,9.6,2.89,1.43,88,ACC,26-29,8-13,6-4,12-12,0-0,62,ACC,0.5689809031962206,3-0,40,72,253,0-0,0-0,0-0,0-0,3-0,,62,0,1.091,17.7676
58,Tulane,3,99,32,0.323,10.666666666666666,33.0,0.32323232323232326,20,6.666666666666667,27.0,21,21,7.0,81,27,3,0.973,9.0,1.0,4,0.441,1.3333333333333333,32,10.666666666666666,51,0.515,11.3,5.0,1.78,82,AAC,36-26,12-12,5-1,19-13,0-0,69,American,0.5109566658816107,3-0,38,13,249,0-0,0-0,0-0,0-0,3-0,,84,15,0.956,17.7596
59,Samford,4,124,41,0.331,10.25,31.0,0.33064516129032256,26,6.5,31.0,23,19,5.52,93,25,4,0.967,6.25,1.0,11,0.481,2.75,39,9.75,58,0.468,12.2,3.19,1.39,92,SoCon,36-22,10-10,2-2,24-10,0-0,90,Southern,0.3904529971910479,3-1,105,169,234,0-0,0-0,0-0,0-1,3-0,,72,-18,0.9490000000000001,17.6445
60,Utah,4,156,49,0.314,12.25,39.0,0.3141025641025641,15,3.75,37.0,8,8,1.95,111,35,4,0.973,8.75,1.0,6,0.395,1.5,30,7.5,75,0.481,5.8,1.95,1.0,83,Pac-12,33-22,14-13,4-1,15-8,0-0,77,Big 12,0.4704859643031279,4-0,15,49,180,0-0,0-0,0-0,0-0,4-0,,78,1,0.876,17.307299999999998
