Rank,Name,G,W-L,AB,H,BB,HBP,SF,SH,PCT
82,Army West Point,56,31-25,1893,566,243,43,27,24,0.386
83,UAlbany,47,22-25,1655,480,218,57,25,10,0.386
84,Iowa,55,36-19,1897,526,263,86,22,22,0.386
85,Stanford,65,47-18,2317,716,257,50,30,26,0.385
86,Morehead St.,54,27-27,1852,549,225,53,18,37,0.385
87,Clemson,58,35-23,2025,570,295,62,26,12,0.385
88,LIU,58,37-21,1977,531,325,62,25,27,0.384
89,Vanderbilt,62,39-23,2101,600,305,51,31,31,0.384
90,Missouri,51,28-23,1753,497,210,91,23,9,0.384
91,SIUE,55,27-28,1934,585,217,54,23,14,0.384
92,San Diego,57,37-20,1975,565,245,85,25,23,0.384
93,Fairfield,52,31-21,1839,527,235,66,20,16,0.383
94,Lehigh,50,26-24,1662,486,194,64,21,15,0.383
95,Creighton,49,31-18,1654,444,242,82,26,21,0.383
96,Indiana St.,49,26-22-1,1726,517,169,78,21,21,0.383
97,North Carolina,64,42-22,2288,655,286,85,19,14,0.383
98,UCF,60,35-25,2020,584,245,77,23,34,0.383
99,Ark.-Pine Bluff,50,13-36-1,1599,461,205,55,25,13,0.383
100,Auburn,65,43-22,2251,637,304,80,34,17,0.383
101,Grand Canyon,62,41-21,2186,672,231,53,31,25,0.382
102,Fresno St.,55,27-28,1975,604,203,49,15,33,0.382
103,Oakland,58,31-27,1886,530,282,42,27,23,0.382
104,TCU,60,38-22,2018,545,341,43,32,8,0.382
105,FDU,54,24-30,1864,525,216,97,19,16,0.382
106,Nicholls,51,26-25,1649,435,255,74,25,17,0.381
107,VCU,62,42-20,2139,592,270,103,20,43,0.381
108,New Orleans,53,30-23,1852,534,220,73,25,13,0.381
